Name,Year,Length,Rating,index
Birdman: Or (The Unexpected Virtue of Ignorance),2014,119,7.8,1
12 Years a Slave,2013,134,8.1,2
Argo,2012,120,7.8,3
The Artist,2011,100,8,4
The King's Speech,2010,118,8.1,5
The Hurt Locker,2009,131,7.6,6
Slumdog Millionaire,2008,120,8,7
No Country for Old Men,2007,122,8.1,8
The Departed,2006,151,8.5,9
Million Dollar Baby,2005,132,8.1,10
Crash,2004,112,7.9,11
The Lord of the Rings: The Return of the King,2003,201,8.9,12
Chicago,2002,113,7.2,13
A Beautiful Mind,2001,135,8.2,14
Gladiator,2000,155,8.5,15
American Beauty,1999,122,8.4,16
Shakespeare in Love,1998,123,7.2,17
Titanic,1997,194,7.7,18
The English Patient,1996,162,7.4,19
Braveheart,1995,178,8.4,20
Forrest Gump,1994,142,8.8,21
Schindler's List,1993,195,8.9,22
Unforgiven,1992,131,8.3,23
The Silence of the Lambs,1991,118,8.6,24
Dances with Wolves,1990,181,8,25
Driving Miss Daisy,1989,99,7.4,26
Rain Man,1988,133,8,27
The Last Emperor,1987,163,7.8,28
Platoon,1986,120,8.1,29
Out of Africa,1985,161,7.2,30
Amadeus,1984,160,8.3,31
Terms of Endearment,1983,132,7.4,32
Gandhi,1982,191,8.1,33
Chariots of Fire,1981,125,7.3,34
Ordinary People,1980,124,7.8,35
Kramer vs. Kramer,1979,105,7.8,36
The Deer Hunter,1978,183,8.2,37
Annie Hall,1977,93,8.1,38
Rocky,1976,119,8.1,39
One Flew Over the Cuckoo's Nest,1975,133,8.7,40
The Godfather: Part II,1974,202,9,41
The Sting,1973,129,8.3,42
The Godfather,1972,175,9.2,43
The French Connection,1971,104,7.8,44
Patton,1970,172,8,45
Midnight Cowboy,1969,113,7.9,46
Oliver!,1968,153,7.5,47
In the Heat of the Night,1967,109,8,48
A Man for All Seasons,1966,120,7.9,49
The Sound of Music,1965,174,8,50
My Fair Lady,1964,170,7.9,51
Tom Jones,1963,128,6.8,52
Lawrence of Arabia,1962,216,8.4,53
West Side Story,1961,152,7.6,54
The Apartment,1960,125,8.3,55
Ben-Hur,1959,212,8.1,56
Gigi,1958,115,6.9,57
The Bridge on the River Kwai,1957,161,8.2,58
Around the World in Eighty Days,1956,175,6.8,59
Marty,1955,90,7.7,60
On the Waterfront,1954,108,8.3,61
From Here to Eternity,1953,118,7.8,62
The Greatest Show on Earth,1952,152,6.7,63
An American in Paris,1951,113,7.2,64
All About Eve,1950,138,8.3,65
All the King's Men,1949,110,7.6,66
Hamlet,1948,155,7.9,67
Gentleman's Agreement,1947,118,7.4,68
The Best Years of Our Lives,1946,172,8.2,69
The Lost Weekend,1945,101,8,70
Going My Way,1944,126,7.3,71
Mrs. Miniver,1943,134,7.6,72
Casablanca,1942,102,8.6,73
How Green Was My Valley,1941,118,7.8,74
Rebecca,1940,130,8.2,75
Gone with the Wind,1939,238,8.2,76
You Can't Take It With You,1938,126,8,77
The Life of Emile Zola,1937,116,7.3,78
The Great Ziegfeld,1936,176,6.9,79
Mutiny on the Bounty,1935,132,7.8,80
It Happened One Night,1934,105,8.2,81
Cavalcade,1933,112,6.1,82
Grand Hotel,1932,112,7.6,83
Cimarron,1931,123,6,84
All Quiet on the Western Front,1930,136,8.1,85
The Broadway Melody,1929,100,6.4,86
Sunrise,1928,94,8.4,87
Wings,1927,144,7.8,88
